SCORES_TXT_BEGIN_0 0 100 9 BLEU
37 74 19 73 12 72 6 71 87 
36 75 18 74 11 73 6 72 87 
37 73 19 72 12 71 6 70 87 
37 72 19 71 12 70 6 69 87 
37 72 19 71 12 70 6 69 87 
36 73 18 72 11 71 6 70 87 
36 73 18 72 11 71 6 70 87 
37 71 19 70 12 69 6 68 87 
37 71 19 70 12 69 6 68 87 
37 70 19 69 12 68 6 67 87 
36 71 18 70 11 69 6 68 87 
37 69 19 68 12 67 6 66 87 
37 74 19 73 12 72 6 71 87 
36 75 18 74 11 73 6 72 87 
37 73 18 72 10 71 4 70 87 
37 74 19 73 12 72 6 71 87 
36 74 17 73 9 72 4 71 87 
37 73 19 72 12 71 6 70 87 
36 75 18 74 11 73 6 72 87 
37 72 19 71 12 70 6 69 87 
37 72 18 71 10 70 4 69 87 
37 72 19 71 12 70 6 69 87 
36 73 18 72 11 71 6 70 87 
37 73 19 72 12 71 6 70 87 
36 73 18 72 11 71 6 70 87 
38 71 18 70 10 69 4 68 87 
37 72 19 71 12 70 6 69 87 
37 71 19 70 12 69 6 68 87 
37 72 19 71 12 70 6 69 87 
37 72 17 71 9 70 4 69 87 
36 73 18 72 11 71 6 70 87 
37 71 19 70 12 69 6 68 87 
36 73 18 72 11 71 6 70 87 
37 70 19 69 12 68 6 67 87 
38 70 18 69 10 68 4 67 87 
37 71 19 70 12 69 6 68 87 
36 71 18 70 11 69 6 68 87 
37 71 19 70 12 69 6 68 87 
37 70 19 69 12 68 6 67 87 
37 69 19 68 12 67 6 66 87 
36 71 18 70 11 69 6 68 87 
37 69 19 68 12 67 6 66 87 
37 75 19 74 12 73 6 72 87 
36 73 18 72 11 71 6 70 87 
35 74 17 73 10 72 6 71 87 
37 73 18 72 10 71 4 70 87 
36 74 17 73 9 72 4 71 87 
36 72 18 71 11 70 6 69 87 
37 73 19 72 12 71 6 70 87 
37 73 19 72 12 71 6 70 87 
36 71 18 70 11 69 6 68 87 
37 73 18 72 10 71 4 70 87 
36 71 18 70 11 69 6 68 87 
37 72 18 71 10 70 4 69 87 
35 72 17 71 10 70 6 69 87 
36 74 17 73 9 72 4 71 87 
35 72 17 71 10 70 6 69 87 
38 75 19 74 12 73 6 72 87 
37 76 18 75 11 74 6 73 87 
38 71 18 70 10 69 4 68 87 
36 70 18 69 11 68 6 67 87 
37 72 18 71 10 70 4 69 87 
37 72 17 71 9 70 4 69 87 
36 70 18 69 11 68 6 67 87 
37 71 19 70 12 69 6 68 87 
38 74 19 73 12 72 6 71 87 
36 69 18 68 11 67 6 66 87 
38 71 18 70 10 69 4 68 87 
38 70 18 69 10 68 4 67 87 
35 70 17 69 10 68 6 67 87 
37 72 17 71 9 70 4 69 87 
38 73 19 72 12 71 6 70 87 
37 74 20 73 12 72 6 71 87 
37 74 18 73 11 72 6 71 87 
36 75 19 74 11 73 6 72 87 
36 68 18 67 11 66 6 65 87 
38 70 18 69 10 68 4 67 87 
38 72 19 71 12 70 6 69 87 
37 73 20 72 12 71 6 70 87 
37 72 20 71 12 70 6 69 87 
36 73 19 72 11 71 6 70 87 
37 75 19 74 12 73 6 72 87 
